;0,00;0,01;0,02;0,03;0,04;0,05;0,06;0,07;0,08;0,09;0,10;0,11;0,12;0,13;0,14;0,15;0,16;0,17;0,18;0,19;0,20;0,21;0,22;0,23;0,24;0,25;0,26;0,27;0,28;0,29;0,30;0,31;0,32;0,33;0,34;0,35;0,36;0,37;0,38;0,39;0,40;0,41;0,42;0,43;0,44;0,45;0,46;0,47;0,48;0,49;0,50;0,51;0,52;0,53;0,54;0,55;0,56;0,57;0,58;0,59;0,60;0,61;0,62;0,63;0,64;0,65;0,66;0,67;0,68;0,69;0,70;0,71;0,72;0,73;0,74;0,75;0,76;0,77;0,78;0,79;0,80;0,81;0,82;0,83;0,84;0,85;0,86;0,87;0,88;0,89;0,90;0,91;0,92;0,93;0,94;0,95;0,96;0,97;0,98;0,99;1,00;1,01;
0,00;1,10;0,20;0,20;0,10;0,70;0,20;0,50;1,30;1,60;-0,20;0,60;-0,20;0,10;1,00;-0,40;1,80;1,90;2,20;-0,30;1,80;1,10;-0,30;0,80;1,90;0,50;1,40;2,20;1,30;1,60;1,70;2,20;-0,50;0,60;1,70;-0,70;1,90;1,80;1,80;0,80;0,60;2,00;1,40;1,50;1,50;1,20;1,00;1,60;0,60;2,00;2,00;0,80;0,50;0,90;2,20;1,00;-0,30;1,70;1,60;0,80;1,30;2,10;2,00;0,80;1,90;2,00;1,30;1,90;1,10;1,30;1,70;1,70;1,50;1,70;1,00;0,80;1,50;1,50;1,40;1,80;2,10;1,80;1,80;1,70;2,00;1,40;1,50;1,20;1,30;2,00;1,70;1,30;2,00;1,90;1,30;2,30;1,50;1,60;2,00;2,50;2,10;1,60;1,80;
0,01;2,20;2,40;2,20;2,70;2,10;2,20;2,30;2,20;2,40;2,30;2,80;2,00;2,80;2,20;2,40;2,20;1,80;2,40;1,60;2,40;2,40;2,30;2,50;2,80;2,50;2,60;2,30;2,50;2,10;2,40;2,10;2,80;2,30;2,10;2,40;2,80;2,60;2,40;2,50;2,70;2,60;2,50;2,20;2,60;2,70;2,60;2,10;2,40;2,50;2,40;2,60;2,60;2,70;2,70;2,40;2,80;2,30;2,60;2,50;2,50;2,30;2,80;2,30;2,40;2,60;2,40;2,50;2,70;2,30;2,50;2,40;2,80;2,40;2,60;2,30;2,30;2,40;2,50;2,60;2,40;2,20;2,20;2,50;2,70;2,20;2,50;2,60;2,50;2,60;2,50;2,20;2,60;2,70;2,70;2,40;2,50;2,40;2,60;2,40;2,10;2,50;2,30;
0,02;2,70;2,50;2,60;2,80;2,30;2,80;2,50;2,70;2,50;2,70;2,60;2,70;2,70;2,80;2,80;2,30;2,60;2,70;2,40;2,80;2,80;2,70;2,70;2,90;2,40;2,90;2,50;2,70;2,60;2,80;2,60;2,80;2,60;2,60;2,70;2,60;2,50;2,70;2,60;2,70;2,60;2,70;2,50;2,60;2,70;2,70;2,60;2,70;2,80;2,40;2,60;2,90;2,80;2,60;2,70;2,60;2,50;2,50;2,70;2,50;2,70;2,80;2,80;2,40;2,70;2,40;2,90;2,60;2,50;2,70;2,80;2,60;2,70;2,80;2,70;2,90;2,60;2,60;3,00;2,90;2,80;2,60;2,60;3,00;2,80;2,60;2,80;2,40;2,80;2,80;2,60;2,80;2,70;2,80;2,50;2,70;2,70;2,50;2,70;2,60;2,50;2,90;
0,03;2,50;2,60;2,90;2,70;2,50;2,70;2,50;2,70;2,90;2,80;2,70;2,50;2,60;2,60;2,70;2,80;2,80;2,80;2,60;2,90;2,80;2,80;2,90;2,70;2,80;2,80;2,80;2,60;2,70;2,80;2,80;2,70;2,70;2,50;2,80;2,60;2,70;2,80;2,70;2,80;2,70;2,80;2,70;2,70;2,90;2,70;2,90;2,40;2,70;2,30;2,90;2,70;2,80;2,70;2,90;3,00;2,90;2,80;2,80;2,90;2,90;2,90;2,90;2,60;3,00;2,80;2,70;2,30;2,80;2,70;2,90;2,80;2,50;2,80;2,80;2,80;2,90;2,80;2,70;2,90;2,90;2,70;2,70;2,80;2,90;2,80;2,80;2,70;2,60;2,90;2,90;2,80;2,60;2,90;2,70;2,70;2,80;2,50;2,50;2,80;2,80;3,00;
0,04;2,60;2,80;2,70;2,90;2,70;2,80;3,00;2,90;3,00;2,70;2,90;2,80;2,70;2,90;2,90;2,80;3,00;2,70;2,90;2,90;2,80;2,80;2,80;2,80;2,70;2,80;2,80;2,90;2,80;2,70;2,70;2,90;2,80;2,90;2,90;2,80;3,00;2,80;2,90;3,00;2,80;2,70;3,00;2,90;2,80;2,90;2,70;3,00;2,80;2,70;2,70;2,80;2,70;2,80;2,50;3,00;2,90;2,70;2,70;2,80;2,90;2,70;2,90;3,00;2,80;2,70;2,90;2,80;2,90;2,70;2,80;2,80;2,60;2,80;2,90;2,70;2,80;2,80;2,90;2,80;3,00;3,00;2,70;2,70;2,80;2,90;2,90;2,70;2,90;2,80;2,60;2,90;2,90;2,90;2,90;2,60;2,80;3,00;2,80;2,80;2,80;2,80;
0,05;2,70;2,80;2,70;2,80;2,70;2,60;3,00;2,80;3,00;3,00;2,90;2,80;2,90;3,00;2,90;2,80;2,90;2,70;3,00;2,80;2,70;3,00;2,90;2,80;2,90;2,90;3,00;2,90;2,90;2,80;2,60;2,90;3,00;2,70;2,90;3,00;2,90;2,80;2,90;2,70;2,80;2,90;2,80;2,80;2,90;2,60;3,00;2,80;2,90;3,00;2,80;2,70;2,70;2,90;2,90;2,80;2,80;3,00;2,80;3,00;2,90;2,90;2,80;2,90;2,90;2,80;2,70;3,00;2,90;2,80;3,00;2,70;2,70;2,80;2,80;2,80;2,70;2,90;2,80;2,90;2,90;3,00;2,90;3,00;3,00;3,00;2,90;2,80;2,80;2,90;2,90;2,90;2,70;3,00;2,80;2,80;2,90;2,80;2,90;2,70;2,70;3,00;
0,06;3,00;2,90;2,90;2,90;2,80;2,90;2,70;2,80;2,90;2,90;2,90;3,00;2,90;3,00;2,70;2,70;3,00;3,00;3,00;2,80;2,90;3,00;2,90;3,00;3,00;2,90;3,00;3,00;3,00;2,80;2,90;2,90;2,70;2,70;3,00;2,80;2,70;2,90;2,90;2,90;3,00;2,80;2,90;3,00;3,00;2,90;2,90;2,70;3,00;2,90;2,90;2,60;2,90;2,90;3,00;2,80;2,80;2,80;2,90;3,00;2,90;3,00;3,00;3,00;3,00;2,90;2,90;3,00;2,90;3,00;2,90;2,90;2,80;3,00;2,90;3,00;2,90;3,00;2,90;2,80;2,90;2,90;2,90;2,90;3,00;2,80;2,90;2,90;2,90;2,80;2,90;2,80;3,00;3,00;2,80;3,00;2,80;2,90;2,80;2,80;2,90;2,80;
0,07;2,90;2,90;2,80;3,00;2,90;3,00;2,90;2,80;2,80;2,90;3,00;2,90;2,80;3,00;3,00;2,80;2,80;2,70;2,90;3,00;2,90;3,00;3,00;2,70;2,80;3,00;3,00;3,00;2,90;2,80;3,00;2,90;2,70;3,00;2,90;3,00;2,90;2,90;3,00;2,90;3,00;2,90;2,90;2,90;2,70;3,00;2,90;2,90;3,00;3,00;2,90;3,00;2,90;3,00;2,80;3,00;2,80;2,80;2,70;2,80;2,90;3,00;3,00;2,90;3,00;3,00;3,00;3,00;2,90;3,00;3,00;3,00;3,00;2,70;3,00;2,90;3,00;2,70;2,90;2,90;3,00;2,90;3,00;2,80;2,90;3,00;2,90;2,90;2,90;3,00;3,00;2,90;3,00;2,80;2,80;3,00;2,90;3,00;2,90;3,00;2,90;3,00;
0,08;3,00;2,80;2,90;2,90;2,80;2,90;2,90;2,90;3,00;2,90;2,90;2,90;3,00;2,90;2,90;2,90;3,00;3,00;2,80;2,90;2,80;2,90;2,80;3,00;2,70;3,00;3,00;2,80;2,90;2,80;3,00;2,90;2,90;2,90;2,90;2,90;2,90;2,80;2,90;3,00;2,90;2,90;2,80;2,90;2,90;3,00;2,80;2,90;3,00;3,00;2,90;3,00;2,70;2,90;2,80;2,90;2,80;3,00;2,90;2,80;3,00;3,00;3,00;3,00;3,00;3,00;2,90;3,00;3,00;2,80;3,00;3,00;3,00;2,80;2,90;3,00;2,90;3,00;3,00;2,80;2,90;2,90;3,00;3,00;3,00;2,90;3,00;2,90;3,00;2,90;2,90;2,90;2,80;3,00;3,00;3,00;2,80;2,90;3,00;3,00;2,80;2,90;
0,09;3,00;2,80;2,90;3,00;2,90;2,90;2,80;2,80;3,00;2,90;3,00;2,90;2,90;2,90;3,00;3,00;3,00;2,90;2,80;3,00;3,00;3,00;3,00;2,90;2,90;2,90;2,90;3,00;3,00;2,70;3,00;3,00;2,80;3,00;2,90;2,90;3,00;3,00;2,90;3,00;2,90;3,00;3,00;3,00;3,00;2,90;2,90;3,00;2,90;2,90;2,90;2,90;3,00;2,90;2,90;3,00;2,90;2,90;2,90;3,00;2,80;2,90;2,90;2,90;2,80;2,90;2,80;2,80;2,90;3,00;2,90;2,80;2,90;2,90;2,80;3,00;2,70;2,90;2,90;2,70;2,90;3,00;2,90;3,00;2,90;2,80;2,80;2,90;3,00;2,80;3,00;3,00;2,80;3,00;2,90;2,90;2,90;2,90;3,00;2,90;2,90;3,00;
0,10;3,00;3,00;2,90;2,90;2,60;3,00;2,90;2,70;3,00;2,90;3,00;2,80;3,00;3,00;3,00;2,90;2,90;2,90;2,90;2,70;3,00;2,80;3,00;2,80;2,90;2,90;3,00;3,00;3,00;3,00;3,00;2,90;3,00;3,00;2,90;3,00;2,80;2,90;2,90;2,90;3,00;2,90;3,00;3,00;3,00;2,90;3,00;3,00;2,90;2,90;2,90;2,90;2,90;3,00;2,90;3,00;2,90;2,90;3,00;2,90;3,00;3,00;3,00;3,00;2,90;3,00;3,00;3,00;3,00;2,90;2,90;2,90;2,90;2,90;2,80;2,90;2,80;3,00;3,00;3,00;2,90;3,00;3,00;3,00;3,00;3,00;2,90;3,00;3,00;2,90;3,00;3,00;3,00;2,90;3,00;3,00;3,00;2,90;2,90;3,00;3,00;3,00;
0,11;2,90;3,00;3,00;3,00;2,90;2,80;2,80;2,90;2,80;2,90;3,00;2,90;2,80;2,80;3,00;2,90;2,80;3,00;3,00;2,90;3,00;3,00;3,00;2,80;3,00;2,80;2,90;3,00;2,80;3,00;2,90;2,90;2,90;3,00;2,80;2,90;3,00;2,90;3,00;3,00;2,90;2,90;2,90;3,00;2,90;2,80;3,00;2,80;3,00;2,90;3,00;3,00;3,00;3,00;3,00;2,90;3,00;2,90;3,00;3,00;3,00;2,90;2,90;2,90;2,90;2,90;2,90;3,00;2,90;3,00;3,00;3,00;2,90;3,00;2,90;3,00;3,00;2,90;3,00;3,00;3,00;2,90;2,90;2,90;3,00;3,00;2,90;2,80;3,00;3,00;2,80;2,90;2,90;3,00;2,90;3,00;3,00;2,90;2,90;3,00;2,90;2,90;
0,12;2,70;2,90;3,00;3,00;3,00;2,90;2,90;3,00;2,90;2,90;2,90;2,90;2,80;2,90;2,90;2,90;2,80;3,00;3,00;3,00;3,00;2,90;3,00;2,90;2,80;2,90;2,80;3,00;3,00;3,00;2,90;3,00;3,00;3,00;2,90;2,90;3,00;2,80;3,00;2,90;2,90;2,90;2,80;3,00;3,00;2,90;2,90;2,90;3,00;3,00;3,00;3,00;3,00;2,90;3,00;2,90;2,90;3,00;3,00;3,00;3,00;3,00;2,90;3,00;3,00;2,90;3,00;3,00;3,00;3,00;3,00;2,90;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;2,90;3,00;3,00;2,90;3,00;3,00;2,90;3,00;3,00;2,90;3,00;3,00;3,00;2,90;3,00;3,00;2,90;3,00;3,00;3,00;3,00;3,00;
0,13;3,00;3,00;3,00;2,90;3,00;3,00;2,90;3,00;2,80;2,90;3,00;2,90;2,90;2,90;2,90;2,90;3,00;2,90;3,00;2,90;2,70;2,80;3,00;2,90;3,00;2,80;3,00;3,00;3,00;2,80;3,00;3,00;2,90;2,90;3,00;3,00;2,70;3,00;3,00;2,90;3,00;3,00;3,00;3,00;2,90;2,90;3,00;2,90;2,90;3,00;3,00;3,00;3,00;3,00;3,00;2,90;2,90;3,00;3,00;2,80;3,00;2,90;2,90;3,00;2,90;3,00;2,90;3,00;3,00;2,90;2,80;2,90;3,00;2,90;3,00;2,90;3,00;3,00;3,00;2,90;3,00;2,90;3,00;2,90;3,00;2,80;2,90;3,00;2,90;2,90;2,80;2,90;2,90;2,80;3,00;3,00;2,90;3,00;3,00;3,00;3,00;2,90;
